               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087144,            0.054745,            0.048711,             0.26426,             0.29254,             0.16214,            0.063352,            0.058951,            0.034684,            0.041468,            0.070027,           0.0033304,           0.0033304
                   1,            0.061664,            0.053423,            0.033648,              0.3565,             0.50176,             0.40964,             0.18392,            0.051934,            0.032595,            0.024709,            0.039895,           0.0065317,           0.0065317
                   2,            0.058341,            0.051197,            0.022906,             0.62567,             0.55893,             0.57925,             0.27258,            0.051032,            0.033168,            0.016392,           0.0096309,           0.0096011,           0.0096011
                   3,            0.053888,            0.048595,            0.015966,             0.69246,             0.60684,             0.65445,             0.28998,            0.048999,            0.032741,            0.009807,            0.009406,            0.009406,            0.009406
                   4,            0.051249,            0.048291,            0.011932,             0.76193,             0.60725,             0.67779,             0.30156,            0.050219,            0.032749,           0.0097906,            0.009406,            0.009406,            0.009406
                   5,            0.049262,            0.047483,           0.0098655,             0.76012,              0.6329,             0.71447,             0.33312,            0.048797,            0.032744,           0.0079138,            0.009208,            0.009208,            0.009208
                   6,            0.047865,            0.046213,           0.0084804,              0.7574,             0.63039,               0.707,             0.33124,            0.047462,            0.031594,           0.0074221,             0.00901,             0.00901,             0.00901
                   7,            0.046109,            0.045399,           0.0076907,             0.75634,             0.64893,             0.70473,             0.36117,            0.046138,            0.031826,           0.0088571,            0.008812,            0.008812,            0.008812
                   8,             0.04501,            0.043992,            0.006837,             0.75183,             0.63567,             0.71929,             0.33823,            0.046691,              0.0311,           0.0081875,            0.008614,            0.008614,            0.008614
                   9,            0.044426,             0.04344,           0.0061468,             0.75553,             0.66453,             0.70426,             0.32844,            0.047069,            0.031536,            0.007576,            0.008416,            0.008416,            0.008416
                  10,            0.043468,            0.043116,           0.0057566,               0.774,             0.65156,             0.72685,             0.37212,            0.046448,            0.032806,           0.0080205,            0.008218,            0.008218,            0.008218
                  11,            0.042862,              0.0425,           0.0051188,             0.76488,             0.71368,             0.75949,             0.37187,            0.045809,            0.031421,           0.0075112,             0.00802,             0.00802,             0.00802
                  12,            0.041833,            0.041249,           0.0048118,             0.77305,              0.7076,             0.75132,             0.37534,            0.046094,            0.031187,           0.0070784,            0.007822,            0.007822,            0.007822
                  13,            0.041465,            0.041358,           0.0047302,             0.79062,             0.69383,             0.75408,             0.38869,            0.045028,            0.031686,           0.0080908,            0.007624,            0.007624,            0.007624
                  14,            0.040542,            0.041029,           0.0042719,             0.74034,              0.7383,             0.76032,             0.38453,            0.044433,            0.031239,           0.0079083,            0.007426,            0.007426,            0.007426
                  15,            0.039769,            0.040181,           0.0040492,              0.7286,             0.71749,             0.74017,             0.37046,            0.046152,             0.03191,           0.0078343,            0.007228,            0.007228,            0.007228
                  16,            0.039532,            0.038434,           0.0040555,             0.75649,              0.6602,             0.71762,             0.37247,            0.045566,               0.032,           0.0084231,             0.00703,             0.00703,             0.00703
                  17,            0.039037,             0.03917,            0.003696,             0.80694,             0.66865,             0.74761,             0.37243,            0.045561,            0.031758,           0.0084937,            0.006832,            0.006832,            0.006832
                  18,            0.038334,            0.038013,           0.0034191,             0.81737,             0.67244,              0.7415,             0.37663,            0.045395,            0.031719,           0.0081991,            0.006634,            0.006634,            0.006634
                  19,            0.037843,            0.038182,           0.0032649,             0.82203,             0.69669,             0.74613,              0.3915,            0.045906,            0.032297,           0.0062726,            0.006436,            0.006436,            0.006436
                  20,            0.037113,            0.037472,           0.0032325,             0.78087,             0.67293,             0.73745,              0.3834,            0.044941,            0.032296,           0.0077327,            0.006238,            0.006238,            0.006238
                  21,            0.036978,            0.037561,           0.0030459,             0.77092,             0.72268,             0.76129,             0.39221,            0.044103,            0.032184,           0.0074309,             0.00604,             0.00604,             0.00604
                  22,            0.036503,            0.036929,           0.0028199,             0.83826,             0.68215,             0.74645,             0.38733,              0.0447,            0.031818,           0.0085341,            0.005842,            0.005842,            0.005842
                  23,            0.036137,            0.036173,           0.0027294,             0.80985,             0.67156,             0.74128,             0.40353,            0.044571,            0.031703,           0.0074386,            0.005644,            0.005644,            0.005644
                  24,            0.035773,            0.035947,           0.0027753,             0.78962,             0.71848,             0.75882,             0.39652,            0.044148,            0.032039,           0.0071092,            0.005446,            0.005446,            0.005446
                  25,            0.035398,            0.035795,           0.0025298,             0.73343,             0.73119,             0.75202,             0.39889,            0.044517,            0.032525,           0.0071113,            0.005248,            0.005248,            0.005248
                  26,             0.03505,            0.035706,           0.0023771,             0.81101,             0.69951,              0.7566,              0.3961,            0.044684,            0.032492,           0.0073342,             0.00505,             0.00505,             0.00505
                  27,            0.034725,            0.034747,           0.0022746,             0.80284,             0.70772,             0.74941,             0.38735,             0.04485,            0.032425,           0.0075311,            0.004852,            0.004852,            0.004852
                  28,            0.034107,            0.034896,            0.002245,             0.80268,             0.70032,             0.75697,             0.39716,            0.045032,            0.032814,           0.0081784,            0.004654,            0.004654,            0.004654
